City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,ossora,88,RU,1522610683,95,59.24,163.07,31.64,19.04
376,tecklenburg,75,DE,1522608600,75,52.22,7.82,41.0,4.7
377,kiama,80,AU,1522605600,93,-34.67,150.86,64.4,5.82
378,saint-louis,75,CH,1522609200,70,47.59,7.56,44.6,6.51
379,acapulco,5,MX,1522608120,74,16.86,-99.88,84.2,10.29
380,ostrovnoy,0,RU,1522610693,69,68.05,39.51,6.98,3.04
381,tombouctou,76,ML,1522610685,16,16.77,-3.01,95.09,3.6
382,bacolod,36,PH,1522610685,92,10.68,122.95,72.77,4.38
383,ketchikan,1,US,1522608780,35,55.34,-131.65,42.8,12.75
384,sakaraha,64,MG,1522610694,88,-22.91,44.53,69.26,1.59
